epsilon,k,sigma,effect_size,N,exponent,Power,rho
0.1,3,0.1,1,4002,0.75,0.148,0.7
0.1,3,0.1,1,5334,0.75,0.1754,0.7
0.1,3,0.1,1,7113,0.75,0.252,0.7
0.1,3,0.1,1,9486,0.75,0.367,0.7
0.1,3,0.1,1,948,1,0.0862,0.7
0.1,3,0.1,1,1266,1,0.1156,0.7
0.1,3,0.1,1,1686,1,0.1598,0.7
0.1,3,0.1,1,2250,1,0.2508,0.7
0.1,3,0.1,1,3e3,1,0.45,0.7
0.1,3,0.1,1,4002,1,0.8124,0.7
0.1,3,0.1,1,5334,1,0.9588,0.7
0.1,3,0.1,1,7113,1,0.9964,0.7
0.1,3,0.1,1,9486,1,0.9988,0.7
0.1,3,0.1,1,948,1.5,0.0538,0.7
0.1,3,0.1,1,1266,1.5,0.054,0.7
0.1,3,0.1,1,1686,1.5,0.0604,0.7
0.1,3,0.1,1,2250,1.5,0.054,0.7
0.1,3,0.1,1,3e3,1.5,0.0768,0.7
0.1,3,0.1,1,4002,1.5,0.0884,0.7
0.1,3,0.1,1,5334,1.5,0.0864,0.7
0.1,3,0.1,1,7113,1.5,0.1504,0.7
0.1,3,0.1,1,9486,1.5,0.2592,0.7
0.1,3,0.1,1,948,2,0.0556,0.7
0.1,3,0.1,1,1266,2,0.0576,0.7
0.1,3,0.1,1,1686,2,0.0618,0.7
0.1,3,0.1,1,2250,2,0.0554,0.7
0.1,3,0.1,1,3e3,2,0.0458,0.7
0.1,3,0.1,1,4002,2,0.0496,0.7
0.1,3,0.1,1,5334,2,0.0628,0.7
0.1,3,0.1,1,7113,2,0.0558,0.7
0.1,3,0.1,1,9486,2,0.0584,0.7
0.1,3,0.25,0.5,948,0.75,0.0756,0.7
0.1,3,0.25,0.5,1266,0.75,0.0664,0.7
0.1,3,0.25,0.5,1686,0.75,0.0802,0.7
0.1,3,0.25,0.5,2250,0.75,0.0926,0.7
0.1,3,0.25,0.5,3e3,0.75,0.1288,0.7
0.1,3,0.25,0.5,4002,0.75,0.1888,0.7
0.1,3,0.25,0.5,5334,0.75,0.261,0.7
0.1,3,0.25,0.5,7113,0.75,0.4698,0.7
0.1,3,0.25,0.5,9486,0.75,0.7584,0.7
0.1,3,0.25,0.5,948,1,0.1116,0.7
0.1,3,0.25,0.5,1266,1,0.19,0.7
0.1,3,0.25,0.5,1686,1,0.3474,0.7
0.1,3,0.25,0.5,2250,1,0.5612,0.7
0.1,3,0.25,0.5,3e3,1,0.8502,0.7
0.1,3,0.25,0.5,4002,1,0.968,0.7
0.1,3,0.25,0.5,5334,1,0.994,0.7
0.1,3,0.25,0.5,7113,1,0.9996,0.7
0.1,3,0.25,0.5,9486,1,1,0.7
0.1,3,0.25,0.5,948,1.5,0.0586,0.7
0.1,3,0.25,0.5,1266,1.5,0.0656,0.7
0.1,3,0.25,0.5,1686,1.5,0.0716,0.7
0.1,3,0.25,0.5,2250,1.5,0.0924,0.7
0.1,3,0.25,0.5,3e3,1.5,0.115,0.7
0.1,3,0.25,0.5,4002,1.5,0.1568,0.7
0.1,3,0.25,0.5,5334,1.5,0.3016,0.7
0.1,3,0.25,0.5,7113,1.5,0.4868,0.7
0.1,3,0.25,0.5,9486,1.5,0.785,0.7
0.1,3,0.25,0.5,948,2,0.0496,0.7
0.1,3,0.25,0.5,1266,2,0.0558,0.7
0.1,3,0.25,0.5,1686,2,0.0512,0.7
0.1,3,0.25,0.5,2250,2,0.0542,0.7
0.1,3,0.25,0.5,3e3,2,0.0496,0.7
0.1,3,0.25,0.5,4002,2,0.0572,0.7
0.1,3,0.25,0.5,5334,2,0.0606,0.7
0.1,3,0.25,0.5,7113,2,0.0846,0.7
0.1,3,0.25,0.5,9486,2,0.116,0.7
0.1,3,0.25,1,948,0.75,0.0792,0.7
0.1,3,0.25,1,1266,0.75,0.093,0.7
0.1,3,0.25,1,1686,0.75,0.1266,0.7
0.1,3,0.25,1,2250,0.75,0.1922,0.7
0.1,3,0.25,1,3e3,0.75,0.2656,0.7
0.1,3,0.25,1,4002,0.75,0.4252,0.7
0.1,3,0.25,1,5334,0.75,0.6252,0.7
0.1,3,0.25,1,7113,0.75,0.8908,0.7
0.1,3,0.25,1,9486,0.75,0.961,0.7
0.1,3,0.25,1,948,1,0.231,0.7
0.1,3,0.25,1,1266,1,0.4358,0.7
0.1,3,0.25,1,1686,1,0.7538,0.7
0.1,3,0.25,1,2250,1,0.9636,0.7
0.1,3,0.25,1,3e3,1,0.996,0.7
0.1,3,0.25,1,4002,1,0.999,0.7
0.1,3,0.25,1,5334,1,1,0.7
0.1,3,0.25,1,7113,1,1,0.7
0.1,3,0.25,1,9486,1,1,0.7
0.1,3,0.25,1,948,1.5,0.0818,0.7
0.1,3,0.25,1,1266,1.5,0.0866,0.7
0.1,3,0.25,1,1686,1.5,0.1478,0.7
0.1,3,0.25,1,2250,1.5,0.2442,0.7
0.1,3,0.25,1,3e3,1.5,0.3546,0.7
0.1,3,0.25,1,4002,1.5,0.7668,0.7
0.1,3,0.25,1,5334,1.5,0.9312,0.7
0.1,3,0.25,1,7113,1.5,0.9902,0.7
0.1,3,0.25,1,9486,1.5,0.9986,0.7
0.1,3,0.25,1,948,2,0.0556,0.7
0.1,3,0.25,1,1266,2,0.0622,0.7
0.1,3,0.25,1,1686,2,0.0744,0.7
0.1,3,0.25,1,2250,2,0.0838,0.7
0.1,3,0.25,1,3e3,2,0.0934,0.7
0.1,3,0.25,1,4002,2,0.1216,0.7
0.1,3,0.25,1,5334,2,0.2186,0.7
0.1,3,0.25,1,7113,2,0.3422,0.7
0.1,3,0.25,1,9486,2,0.6634,0.7
0.1,7,0.1,0.5,2212,0.75,0.0572,0.7
0.1,7,0.1,0.5,2954,0.75,0.065,0.7
0.1,7,0.1,0.5,3934,0.75,0.0594,0.7
0.1,7,0.1,0.5,5250,0.75,0.0744,0.7
0.1,7,0.1,0.5,7e3,0.75,0.0798,0.7
0.1,7,0.1,0.5,9338,0.75,0.1016,0.7
0.1,7,0.1,0.5,12446,0.75,0.1106,0.7
0.1,7,0.1,0.5,16597,0.75,0.167,0.7
0.1,7,0.1,0.5,22134,0.75,0.1926,0.7
0.1,7,0.1,0.5,2212,1,0.0714,0.7
0.1,7,0.1,0.5,2954,1,0.0834,0.7
0.1,7,0.1,0.5,3934,1,0.1126,0.7
0.1,7,0.1,0.5,5250,1,0.1526,0.7
0.1,7,0.1,0.5,7e3,1,0.2572,0.7
0.1,7,0.1,0.5,9338,1,0.4268,0.7
0.1,7,0.1,0.5,12446,1,0.7174,0.7
0.1,7,0.1,0.5,16597,1,0.894,0.7
0.1,7,0.1,0.5,22134,1,0.9696,0.7
0.1,7,0.1,0.5,2212,1.5,0.0502,0.7
0.1,7,0.1,0.5,2954,1.5,0.05,0.7
0.1,7,0.1,0.5,3934,1.5,0.0504,0.7
0.1,7,0.1,0.5,5250,1.5,0.056,0.7
0.1,7,0.1,0.5,7e3,1.5,0.0586,0.7
0.1,7,0.1,0.5,9338,1.5,0.0526,0.7
0.1,7,0.1,0.5,12446,1.5,0.0732,0.7
0.1,7,0.1,0.5,16597,1.5,0.0878,0.7
0.1,7,0.1,0.5,22134,1.5,0.122,0.7
0.1,7,0.1,0.5,2212,2,0.0488,0.7
0.1,7,0.1,0.5,2954,2,0.0418,0.7
0.1,7,0.1,0.5,3934,2,0.0476,0.7
0.1,7,0.1,0.5,5250,2,0.0436,0.7
0.1,7,0.1,0.5,7e3,2,0.0504,0.7
0.1,7,0.1,0.5,9338,2,0.0524,0.7
0.1,7,0.1,0.5,12446,2,0.0506,0.7
0.1,7,0.1,0.5,16597,2,0.0608,0.7
0.1,7,0.1,0.5,22134,2,0.0464,0.7
0.1,7,0.1,1,2212,0.75,0.058,0.7
0.1,7,0.1,1,2954,0.75,0.0682,0.7
0.1,7,0.1,1,3934,0.75,0.0784,0.7
0.1,7,0.1,1,5250,0.75,0.0926,0.7
0.1,7,0.1,1,7e3,0.75,0.1066,0.7
0.1,7,0.1,1,9338,0.75,0.1474,0.7
0.1,7,0.1,1,12446,0.75,0.1908,0.7
0.1,7,0.1,1,16597,0.75,0.2468,0.7
0.1,7,0.1,1,22134,0.75,0.4568,0.7
0.1,7,0.1,1,2212,1,0.0932,0.7
0.1,7,0.1,1,2954,1,0.1358,0.7
0.1,7,0.1,1,3934,1,0.2516,0.7
0.1,7,0.1,1,5250,1,0.429,0.7
0.1,7,0.1,1,7e3,1,0.7548,0.7
0.1,7,0.1,1,9338,1,0.9318,0.7
0.1,7,0.1,1,12446,1,0.9926,0.7
0.1,7,0.1,1,16597,1,0.9982,0.7
0.1,7,0.1,1,22134,1,0.9996,0.7
0.1,7,0.1,1,2212,1.5,0.0602,0.7
0.1,7,0.1,1,2954,1.5,0.0502,0.7
0.1,7,0.1,1,3934,1.5,0.0548,0.7
0.1,7,0.1,1,5250,1.5,0.0668,0.7
0.1,7,0.1,1,7e3,1.5,0.0892,0.7
0.1,7,0.1,1,9338,1.5,0.1084,0.7
0.1,7,0.1,1,12446,1.5,0.148,0.7
0.1,7,0.1,1,16597,1.5,0.221,0.7
0.1,7,0.1,1,22134,1.5,0.4682,0.7
0.1,7,0.1,1,2212,2,0.054,0.7
0.1,7,0.1,1,2954,2,0.0502,0.7
0.1,7,0.1,1,3934,2,0.046,0.7
0.1,7,0.1,1,5250,2,0.057,0.7
0.1,7,0.1,1,7e3,2,0.0522,0.7
0.1,7,0.1,1,9338,2,0.0568,0.7
0.1,7,0.1,1,12446,2,0.058,0.7
0.1,7,0.1,1,16597,2,0.068,0.7
0.1,7,0.1,1,22134,2,0.0556,0.7
0.1,7,0.25,0.5,2212,0.75,0.0604,0.7
0.1,7,0.25,0.5,2954,0.75,0.064,0.7
0.1,7,0.25,0.5,3934,0.75,0.0942,0.7
0.1,7,0.25,0.5,5250,0.75,0.1106,0.7
0.1,7,0.25,0.5,7e3,0.75,0.1376,0.7
0.1,7,0.25,0.5,9338,0.75,0.1914,0.7
0.1,7,0.25,0.5,12446,0.75,0.2874,0.7
0.1,7,0.25,0.5,16597,0.75,0.4698,0.7
0.1,7,0.25,0.5,22134,0.75,0.6566,0.7
0.1,7,0.25,0.5,2212,1,0.1392,0.7
0.1,7,0.25,0.5,2954,1,0.2402,0.7
0.1,7,0.25,0.5,3934,1,0.4006,0.7
0.1,7,0.25,0.5,5250,1,0.7044,0.7
0.1,7,0.25,0.5,7e3,1,0.8822,0.7
0.1,7,0.25,0.5,9338,1,0.9728,0.7
0.1,7,0.25,0.5,12446,1,0.9948,0.7
0.1,7,0.25,0.5,16597,1,1,0.7
0.1,7,0.25,0.5,22134,1,1,0.7
0.1,7,0.25,0.5,2212,1.5,0.0716,0.7
0.1,7,0.25,0.5,2954,1.5,0.067,0.7
0.1,7,0.25,0.5,3934,1.5,0.0884,0.7
0.1,7,0.25,0.5,5250,1.5,0.1034,0.7
0.1,7,0.25,0.5,7e3,1.5,0.1452,0.7
0.1,7,0.25,0.5,9338,1.5,0.2032,0.7
0.1,7,0.25,0.5,12446,1.5,0.3232,0.7
0.1,7,0.25,0.5,16597,1.5,0.5652,0.7
0.1,7,0.25,0.5,22134,1.5,0.8094,0.7
0.1,7,0.25,0.5,2212,2,0.0578,0.7
0.1,7,0.25,0.5,2954,2,0.0566,0.7
0.1,7,0.25,0.5,3934,2,0.0568,0.7
0.1,7,0.25,0.5,5250,2,0.0544,0.7
0.1,7,0.25,0.5,7e3,2,0.065,0.7
0.1,7,0.25,0.5,9338,2,0.0746,0.7
0.1,7,0.25,0.5,12446,2,0.0756,0.7
0.1,7,0.25,0.5,16597,2,0.1018,0.7
0.1,7,0.25,0.5,22134,2,0.1232,0.7
0.1,7,0.25,1,2212,0.75,0.07,0.7
0.1,7,0.25,1,2954,0.75,0.0978,0.7
0.1,7,0.25,1,3934,0.75,0.1302,0.7
0.1,7,0.25,1,5250,0.75,0.212,0.7
0.1,7,0.25,1,7e3,0.75,0.2766,0.7
0.1,7,0.25,1,9338,0.75,0.3732,0.7
0.1,7,0.25,1,12446,0.75,0.6606,0.7
0.1,7,0.25,1,16597,0.75,0.8522,0.7
0.1,7,0.25,1,22134,0.75,0.9538,0.7
0.1,7,0.25,1,2212,1,0.454,0.7
0.1,7,0.25,1,2954,1,0.699,0.7
0.1,7,0.25,1,3934,1,0.9102,0.7
0.1,7,0.25,1,5250,1,0.9822,0.7
0.1,7,0.25,1,7e3,1,0.9974,0.7
0.1,7,0.25,1,9338,1,0.9998,0.7
0.1,7,0.25,1,12446,1,0.9998,0.7
0.1,7,0.25,1,16597,1,1,0.7
0.1,7,0.25,1,22134,1,1,0.7
0.1,7,0.25,1,2212,1.5,0.1012,0.7
0.1,7,0.25,1,2954,1.5,0.1344,0.7
0.1,7,0.25,1,3934,1.5,0.2076,0.7
0.1,7,0.25,1,5250,1.5,0.3114,0.7
0.1,7,0.25,1,7e3,1.5,0.5806,0.7
0.1,7,0.25,1,9338,1.5,0.8748,0.7
0.1,7,0.25,1,12446,1.5,0.9672,0.7
0.1,7,0.25,1,16597,1.5,0.9944,0.7
0.1,7,0.25,1,22134,1.5,0.9994,0.7
0.1,7,0.25,1,2212,2,0.0556,0.7
0.1,7,0.25,1,2954,2,0.06,0.7
0.1,7,0.25,1,3934,2,0.0808,0.7
0.1,7,0.25,1,5250,2,0.0964,0.7
0.1,7,0.25,1,7e3,2,0.119,0.7
0.1,7,0.25,1,9338,2,0.19,0.7
0.1,7,0.25,1,12446,2,0.298,0.7
0.1,7,0.25,1,16597,2,0.5566,0.7
0.1,7,0.25,1,22134,2,0.7754,0.7
