epsilon,k,sigma,effect_size,N,exponent,Power,rho
0.1,3,0.1,0.5,948,0.75,0.053,0.7
0.1,3,0.1,0.5,1266,0.75,0.0566,0.7
0.1,3,0.1,0.5,1686,0.75,0.0518,0.7
0.1,3,0.1,0.5,2250,0.75,0.0698,0.7
0.1,3,0.1,0.5,3e3,0.75,0.0718,0.7
0.1,3,0.1,0.5,4002,0.75,0.076,0.7
0.1,3,0.1,0.5,5334,0.75,0.0946,0.7
0.1,3,0.1,0.5,7113,0.75,0.146,0.7
0.1,3,0.1,0.5,9486,0.75,0.1708,0.7
0.1,3,0.1,0.5,948,1,0.0742,0.7
0.1,3,0.1,0.5,1266,1,0.0682,0.7
0.1,3,0.1,0.5,1686,1,0.074,0.7
0.1,3,0.1,0.5,2250,1,0.1206,0.7
0.1,3,0.1,0.5,3e3,1,0.1796,0.7
0.1,3,0.1,0.5,4002,1,0.3252,0.7
0.1,3,0.1,0.5,5334,1,0.559,0.7
0.1,3,0.1,0.5,7113,1,0.8566,0.7
0.1,3,0.1,0.5,9486,1,0.9718,0.7
0.1,3,0.1,0.5,948,1.5,0.0504,0.7
0.1,3,0.1,0.5,1266,1.5,0.0438,0.7
0.1,3,0.1,0.5,1686,1.5,0.0524,0.7
0.1,3,0.1,0.5,2250,1.5,0.0592,0.7
0.1,3,0.1,0.5,3e3,1.5,0.0556,0.7
0.1,3,0.1,0.5,4002,1.5,0.0516,0.7
0.1,3,0.1,0.5,5334,1.5,0.0596,0.7
0.1,3,0.1,0.5,7113,1.5,0.0706,0.7
0.1,3,0.1,0.5,9486,1.5,0.0786,0.7
0.1,3,0.1,0.5,948,2,0.0582,0.7
0.1,3,0.1,0.5,1266,2,0.0504,0.7
0.1,3,0.1,0.5,1686,2,0.0532,0.7
0.1,3,0.1,0.5,2250,2,0.0462,0.7
0.1,3,0.1,0.5,3e3,2,0.0464,0.7
0.1,3,0.1,0.5,4002,2,0.0464,0.7
0.1,3,0.1,0.5,5334,2,0.0496,0.7
0.1,3,0.1,0.5,7113,2,0.051,0.7
0.1,3,0.1,0.5,9486,2,0.051,0.7
0.1,3,0.1,1,948,0.75,0.0648,0.7
0.1,3,0.1,1,1266,0.75,0.0728,0.7
0.1,3,0.1,1,1686,0.75,0.0646,0.7
0.1,3,0.1,1,2250,0.75,0.0792,0.7
0.1,3,0.1,1,3e3,0.75,0.1074,0.7
