epsilon,k,sigma,effect_size,N,exponent,Power
0.1,3,0.25,1,5334,2,0.2198
0.1,3,0.25,1,7113,2,0.3272
0.1,3,0.25,1,9486,2,0.6058
0.1,7,0.1,0.5,2212,0.75,0.0538
0.1,7,0.1,0.5,2954,0.75,0.0566
0.1,7,0.1,0.5,3934,0.75,0.061
0.1,7,0.1,0.5,5250,0.75,0.0626
0.1,7,0.1,0.5,7e3,0.75,0.0718
0.1,7,0.1,0.5,9338,0.75,0.0754
0.1,7,0.1,0.5,12446,0.75,0.1104
0.1,7,0.1,0.5,16597,0.75,0.116
0.1,7,0.1,0.5,22134,0.75,0.1372
0.1,7,0.1,0.5,2212,1,0.069
0.1,7,0.1,0.5,2954,1,0.0656
0.1,7,0.1,0.5,3934,1,0.08
0.1,7,0.1,0.5,5250,1,0.1322
0.1,7,0.1,0.5,7e3,1,0.1678
0.1,7,0.1,0.5,9338,1,0.2286
0.1,7,0.1,0.5,12446,1,0.411
0.1,7,0.1,0.5,16597,1,0.7118
0.1,7,0.1,0.5,22134,1,0.8892
0.1,7,0.1,0.5,2212,1.5,0.0422
0.1,7,0.1,0.5,2954,1.5,0.0618
0.1,7,0.1,0.5,3934,1.5,0.0472
0.1,7,0.1,0.5,5250,1.5,0.0474
0.1,7,0.1,0.5,7e3,1.5,0.055
0.1,7,0.1,0.5,9338,1.5,0.0692
0.1,7,0.1,0.5,12446,1.5,0.0774
0.1,7,0.1,0.5,16597,1.5,0.0828
0.1,7,0.1,0.5,22134,1.5,0.0948
0.1,7,0.1,0.5,2212,2,0.0552
0.1,7,0.1,0.5,2954,2,0.0448
0.1,7,0.1,0.5,3934,2,0.0548
0.1,7,0.1,0.5,5250,2,0.0514
0.1,7,0.1,0.5,7e3,2,0.0616
0.1,7,0.1,0.5,9338,2,0.054
0.1,7,0.1,0.5,12446,2,0.0458
0.1,7,0.1,0.5,16597,2,0.0528
0.1,7,0.1,0.5,22134,2,0.0574
0.1,7,0.1,1,2212,0.75,0.0608
0.1,7,0.1,1,2954,0.75,0.0684
0.1,7,0.1,1,3934,0.75,0.0716
0.1,7,0.1,1,5250,0.75,0.0754
0.1,7,0.1,1,7e3,0.75,0.0934
0.1,7,0.1,1,9338,0.75,0.1146
0.1,7,0.1,1,12446,0.75,0.1632
0.1,7,0.1,1,16597,0.75,0.2184
0.1,7,0.1,1,22134,0.75,0.3236
0.1,7,0.1,1,2212,1,0.0906
0.1,7,0.1,1,2954,1,0.131
0.1,7,0.1,1,3934,1,0.214
0.1,7,0.1,1,5250,1,0.2592
0.1,7,0.1,1,7e3,1,0.5396
0.1,7,0.1,1,9338,1,0.7648
0.1,7,0.1,1,12446,1,0.9376
0.1,7,0.1,1,16597,1,0.9834
0.1,7,0.1,1,22134,1,0.9976
0.1,7,0.1,1,2212,1.5,0.0548
0.1,7,0.1,1,2954,1.5,0.0592
0.1,7,0.1,1,3934,1.5,0.06
0.1,7,0.1,1,5250,1.5,0.0624
0.1,7,0.1,1,7e3,1.5,0.0738
0.1,7,0.1,1,9338,1.5,0.1082
0.1,7,0.1,1,12446,1.5,0.1392
0.1,7,0.1,1,16597,1.5,0.1982
0.1,7,0.1,1,22134,1.5,0.3026
0.1,7,0.1,1,2212,2,0.0492
0.1,7,0.1,1,2954,2,0.0444
0.1,7,0.1,1,3934,2,0.049
0.1,7,0.1,1,5250,2,0.0522
0.1,7,0.1,1,7e3,2,0.056
0.1,7,0.1,1,9338,2,0.0536
0.1,7,0.1,1,12446,2,0.0588
0.1,7,0.1,1,16597,2,0.0622
0.1,7,0.1,1,22134,2,0.0704
0.1,7,0.25,0.5,2212,0.75,0.0638
0.1,7,0.25,0.5,2954,0.75,0.0766
0.1,7,0.25,0.5,3934,0.75,0.083
0.1,7,0.25,0.5,5250,0.75,0.0924
0.1,7,0.25,0.5,7e3,0.75,0.1022
0.1,7,0.25,0.5,9338,0.75,0.148
0.1,7,0.25,0.5,12446,0.75,0.195
0.1,7,0.25,0.5,16597,0.75,0.2636
0.1,7,0.25,0.5,22134,0.75,0.376
0.1,7,0.25,0.5,2212,1,0.1184
0.1,7,0.25,0.5,2954,1,0.1448
0.1,7,0.25,0.5,3934,1,0.2352
0.1,7,0.25,0.5,5250,1,0.396
0.1,7,0.25,0.5,7e3,1,0.7178
0.1,7,0.25,0.5,9338,1,0.8808
0.1,7,0.25,0.5,12446,1,0.9696
0.1,7,0.25,0.5,16597,1,0.9928
0.1,7,0.25,0.5,22134,1,0.9992
0.1,7,0.25,0.5,2212,1.5,0.053
0.1,7,0.25,0.5,2954,1.5,0.0616
0.1,7,0.25,0.5,3934,1.5,0.0786
0.1,7,0.25,0.5,5250,1.5,0.105
0.1,7,0.25,0.5,7e3,1.5,0.1058
0.1,7,0.25,0.5,9338,1.5,0.1344
0.1,7,0.25,0.5,12446,1.5,0.1896
0.1,7,0.25,0.5,16597,1.5,0.2868
0.1,7,0.25,0.5,22134,1.5,0.5188
0.1,7,0.25,0.5,2212,2,0.0422
0.1,7,0.25,0.5,2954,2,0.0506
0.1,7,0.25,0.5,3934,2,0.0566
0.1,7,0.25,0.5,5250,2,0.0596
0.1,7,0.25,0.5,7e3,2,0.0712
0.1,7,0.25,0.5,9338,2,0.0614
0.1,7,0.25,0.5,12446,2,0.0844
0.1,7,0.25,0.5,16597,2,0.0806
0.1,7,0.25,0.5,22134,2,0.0956
0.1,7,0.25,1,2212,0.75,0.0826
0.1,7,0.25,1,2954,0.75,0.082
0.1,7,0.25,1,3934,0.75,0.0994
0.1,7,0.25,1,5250,0.75,0.1472
0.1,7,0.25,1,7e3,0.75,0.2028
0.1,7,0.25,1,9338,0.75,0.289
0.1,7,0.25,1,12446,0.75,0.4566
0.1,7,0.25,1,16597,0.75,0.636
0.1,7,0.25,1,22134,0.75,0.8512
0.1,7,0.25,1,2212,1,0.2952
0.1,7,0.25,1,2954,1,0.5148
0.1,7,0.25,1,3934,1,0.7444
0.1,7,0.25,1,5250,1,0.9284
0.1,7,0.25,1,7e3,1,0.9814
0.1,7,0.25,1,9338,1,0.996
0.1,7,0.25,1,12446,1,0.9998
0.1,7,0.25,1,16597,1,1
0.1,7,0.25,1,22134,1,1
0.1,7,0.25,1,2212,1.5,0.0814
0.1,7,0.25,1,2954,1.5,0.1208
0.1,7,0.25,1,3934,1.5,0.1566
0.1,7,0.25,1,5250,1.5,0.245
0.1,7,0.25,1,7e3,1.5,0.3744
0.1,7,0.25,1,9338,1.5,0.638
0.1,7,0.25,1,12446,1.5,0.86240000000000006
0.1,7,0.25,1,16597,1.5,0.9528
0.1,7,0.25,1,22134,1.5,0.9918
0.1,7,0.25,1,2212,2,0.0556
0.1,7,0.25,1,2954,2,0.0514
0.1,7,0.25,1,3934,2,0.0738
0.1,7,0.25,1,5250,2,0.0884
0.1,7,0.25,1,7e3,2,0.1018
0.1,7,0.25,1,9338,2,0.1386
0.1,7,0.25,1,12446,2,0.2134
0.1,7,0.25,1,16597,2,0.3252
0.1,7,0.25,1,22134,2,0.5922
