epsilon,k,sigma,effect_size,N,exponent,Power
0.1,3,0.1,0.5,948,0.75,0.051
0.1,3,0.1,0.5,1266,0.75,0.0556
0.1,3,0.1,0.5,1686,0.75,0.0522
0.1,3,0.1,0.5,2250,0.75,0.065
0.1,3,0.1,0.5,3e3,0.75,0.0722
0.1,3,0.1,0.5,4002,0.75,0.0762
0.1,3,0.1,0.5,5334,0.75,0.1038
0.1,3,0.1,0.5,7113,0.75,0.1166
0.1,3,0.1,0.5,9486,0.75,0.1884
0.1,3,0.1,0.5,948,1,0.0624
0.1,3,0.1,0.5,1266,1,0.0792
0.1,3,0.1,0.5,1686,1,0.0824
0.1,3,0.1,0.5,2250,1,0.1272
0.1,3,0.1,0.5,3e3,1,0.1524
0.1,3,0.1,0.5,4002,1,0.2706
0.1,3,0.1,0.5,5334,1,0.4376
0.1,3,0.1,0.5,7113,1,0.7012
0.1,3,0.1,0.5,9486,1,0.889
0.1,3,0.1,0.5,948,1.5,0.0514
0.1,3,0.1,0.5,1266,1.5,0.0496
0.1,3,0.1,0.5,1686,1.5,0.0496
0.1,3,0.1,0.5,2250,1.5,0.0582
0.1,3,0.1,0.5,3e3,1.5,0.0506
0.1,3,0.1,0.5,4002,1.5,0.059
0.1,3,0.1,0.5,5334,1.5,0.0792
0.1,3,0.1,0.5,7113,1.5,0.0752
0.1,3,0.1,0.5,9486,1.5,0.0734
0.1,3,0.1,0.5,948,2,0.05
0.1,3,0.1,0.5,1266,2,0.049
0.1,3,0.1,0.5,1686,2,0.0502
0.1,3,0.1,0.5,2250,2,0.0476
0.1,3,0.1,0.5,3e3,2,0.0526
0.1,3,0.1,0.5,4002,2,0.0514
0.1,3,0.1,0.5,5334,2,0.0528
0.1,3,0.1,0.5,7113,2,0.0544
0.1,3,0.1,0.5,9486,2,0.057
0.1,3,0.1,1,948,0.75,0.0544
0.1,3,0.1,1,1266,0.75,0.0652
0.1,3,0.1,1,1686,0.75,0.0684
0.1,3,0.1,1,2250,0.75,0.0858
0.1,3,0.1,1,3e3,0.75,0.069
0.1,3,0.1,1,4002,0.75,0.1188
0.1,3,0.1,1,5334,0.75,0.168
0.1,3,0.1,1,7113,0.75,0.204
0.1,3,0.1,1,9486,0.75,0.3722
0.1,3,0.1,1,948,1,0.0726
0.1,3,0.1,1,1266,1,0.1018
0.1,3,0.1,1,1686,1,0.1324
0.1,3,0.1,1,2250,1,0.2118
0.1,3,0.1,1,3e3,1,0.4298
0.1,3,0.1,1,4002,1,0.7796
0.1,3,0.1,1,5334,1,0.907
0.1,3,0.1,1,7113,1,0.9808
0.1,3,0.1,1,9486,1,0.9978
0.1,3,0.1,1,948,1.5,0.0526
0.1,3,0.1,1,1266,1.5,0.0536
0.1,3,0.1,1,1686,1.5,0.0572
0.1,3,0.1,1,2250,1.5,0.0562
0.1,3,0.1,1,3e3,1.5,0.0666
0.1,3,0.1,1,4002,1.5,0.0672
0.1,3,0.1,1,5334,1.5,0.1048
0.1,3,0.1,1,7113,1.5,0.1318
0.1,3,0.1,1,9486,1.5,0.1966
0.1,3,0.1,1,948,2,0.0528
0.1,3,0.1,1,1266,2,0.052
0.1,3,0.1,1,1686,2,0.049
0.1,3,0.1,1,2250,2,0.0558
0.1,3,0.1,1,3e3,2,0.056
0.1,3,0.1,1,4002,2,0.052
0.1,3,0.1,1,5334,2,0.0492
0.1,3,0.1,1,7113,2,0.053
0.1,3,0.1,1,9486,2,0.0568
0.1,3,0.25,0.5,948,0.75,0.0612
0.1,3,0.25,0.5,1266,0.75,0.0674
0.1,3,0.25,0.5,1686,0.75,0.075
0.1,3,0.25,0.5,2250,0.75,0.1004
0.1,3,0.25,0.5,3e3,0.75,0.1232
0.1,3,0.25,0.5,4002,0.75,0.15
0.1,3,0.25,0.5,5334,0.75,0.2338
0.1,3,0.25,0.5,7113,0.75,0.324
0.1,3,0.25,0.5,9486,0.75,0.5608
0.1,3,0.25,0.5,948,1,0.1106
0.1,3,0.25,0.5,1266,1,0.1596
0.1,3,0.25,0.5,1686,1,0.2476
0.1,3,0.25,0.5,2250,1,0.345
0.1,3,0.25,0.5,3e3,1,0.6632
0.1,3,0.25,0.5,4002,1,0.8814
0.1,3,0.25,0.5,5334,1,0.9668
0.1,3,0.25,0.5,7113,1,0.9954
0.1,3,0.25,0.5,9486,1,0.999
0.1,3,0.25,0.5,948,1.5,0.0612
0.1,3,0.25,0.5,1266,1.5,0.0606
0.1,3,0.25,0.5,1686,1.5,0.0656
0.1,3,0.25,0.5,2250,1.5,0.0868
0.1,3,0.25,0.5,3e3,1.5,0.0922
0.1,3,0.25,0.5,4002,1.5,0.1332
0.1,3,0.25,0.5,5334,1.5,0.1928
0.1,3,0.25,0.5,7113,1.5,0.3106
0.1,3,0.25,0.5,9486,1.5,0.496
0.1,3,0.25,0.5,948,2,0.059
0.1,3,0.25,0.5,1266,2,0.0488
0.1,3,0.25,0.5,1686,2,0.0612
0.1,3,0.25,0.5,2250,2,0.0488
0.1,3,0.25,0.5,3e3,2,0.0588
0.1,3,0.25,0.5,4002,2,0.0554
0.1,3,0.25,0.5,5334,2,0.0786
0.1,3,0.25,0.5,7113,2,0.0812
0.1,3,0.25,0.5,9486,2,0.0972
0.1,3,0.25,1,948,0.75,0.0988
0.1,3,0.25,1,1266,0.75,0.0888
0.1,3,0.25,1,1686,0.75,0.118
0.1,3,0.25,1,2250,0.75,0.1616
0.1,3,0.25,1,3e3,0.75,0.227
0.1,3,0.25,1,4002,0.75,0.3542
0.1,3,0.25,1,5334,0.75,0.5972
0.1,3,0.25,1,7113,0.75,0.7942
0.1,3,0.25,1,9486,0.75,0.929
0.1,3,0.25,1,948,1,0.2378
0.1,3,0.25,1,1266,1,0.479
0.1,3,0.25,1,1686,1,0.7274
0.1,3,0.25,1,2250,1,0.9242
0.1,3,0.25,1,3e3,1,0.9812
0.1,3,0.25,1,4002,1,0.996
0.1,3,0.25,1,5334,1,1
0.1,3,0.25,1,7113,1,1
0.1,3,0.25,1,9486,1,1
0.1,3,0.25,1,948,1.5,0.0766
0.1,3,0.25,1,1266,1.5,0.1056
0.1,3,0.25,1,1686,1.5,0.1324
0.1,3,0.25,1,2250,1.5,0.2026
0.1,3,0.25,1,3e3,1.5,0.3538
0.1,3,0.25,1,4002,1.5,0.5988
0.1,3,0.25,1,5334,1.5,0.8418
0.1,3,0.25,1,7113,1.5,0.9586
0.1,3,0.25,1,9486,1.5,0.9924
0.1,3,0.25,1,948,2,0.0554
0.1,3,0.25,1,1266,2,0.0704
0.1,3,0.25,1,1686,2,0.0608
0.1,3,0.25,1,2250,2,0.0686
0.1,3,0.25,1,3e3,2,0.0992
0.1,3,0.25,1,4002,2,0.1344
