epsilon,k,sigma,effect_size,N,exponent,Power
1,3,0.25,1,75,1,0.1516
1,3,0.25,1,150,1,0.5006
1,3,0.25,1,300,1,0.9668
1,3,0.25,1,399,1,0.9956
1,3,0.25,1,534,1,0.9996
1,3,0.25,1,711,1,1
1,3,0.25,1,948,1,1
1,3,0.25,1,1266,1,1
1,3,0.25,1,1686,1,1
1,3,0.25,1,30,1.5,0.0512
1,3,0.25,1,75,1.5,0.0656
1,3,0.25,1,150,1.5,0.1122
1,3,0.25,1,300,1.5,0.375
1,3,0.25,1,399,1.5,0.5776
1,3,0.25,1,534,1.5,0.821
1,3,0.25,1,711,1.5,0.9478
1,3,0.25,1,948,1.5,0.989
1,3,0.25,1,1266,1.5,0.9988
1,3,0.25,1,1686,1.5,1
1,3,0.25,1,30,2,0.05
1,3,0.25,1,75,2,0.0522
1,3,0.25,1,150,2,0.0686
1,3,0.25,1,300,2,0.081
1,3,0.25,1,399,2,0.1326
1,3,0.25,1,534,2,0.214
1,3,0.25,1,711,2,0.3422
1,3,0.25,1,948,2,0.572
1,3,0.25,1,1266,2,0.8292
1,3,0.25,1,1686,2,0.9388
1,7,0.1,0.5,70,0.75,0.0426
1,7,0.1,0.5,175,0.75,0.0494
1,7,0.1,0.5,350,0.75,0.0628
1,7,0.1,0.5,700,0.75,0.0918
1,7,0.1,0.5,931,0.75,0.0966
1,7,0.1,0.5,1246,0.75,0.1368
1,7,0.1,0.5,1659,0.75,0.1714
1,7,0.1,0.5,2212,0.75,0.2494
1,7,0.1,0.5,2954,0.75,0.409
1,7,0.1,0.5,3934,0.75,0.6324
1,7,0.1,0.5,70,1,0.04
1,7,0.1,0.5,175,1,0.06
1,7,0.1,0.5,350,1,0.0818
1,7,0.1,0.5,700,1,0.1556
1,7,0.1,0.5,931,1,0.2102
1,7,0.1,0.5,1246,1,0.3658
1,7,0.1,0.5,1659,1,0.6054
1,7,0.1,0.5,2212,1,0.8452
1,7,0.1,0.5,2954,1,0.9512
1,7,0.1,0.5,3934,1,0.9902
1,7,0.1,0.5,70,1.5,0.0492
1,7,0.1,0.5,175,1.5,0.0484
1,7,0.1,0.5,350,1.5,0.0544
1,7,0.1,0.5,700,1.5,0.059
1,7,0.1,0.5,931,1.5,0.0628
1,7,0.1,0.5,1246,1.5,0.0688
1,7,0.1,0.5,1659,1.5,0.073
1,7,0.1,0.5,2212,1.5,0.0916
1,7,0.1,0.5,2954,1.5,0.1096
1,7,0.1,0.5,3934,1.5,0.1728
1,7,0.1,0.5,70,2,0.0442
1,7,0.1,0.5,175,2,0.0546
1,7,0.1,0.5,350,2,0.0492
1,7,0.1,0.5,700,2,0.0518
1,7,0.1,0.5,931,2,0.062
1,7,0.1,0.5,1246,2,0.0542
1,7,0.1,0.5,1659,2,0.0488
1,7,0.1,0.5,2212,2,0.052
1,7,0.1,0.5,2954,2,0.0638
1,7,0.1,0.5,3934,2,0.0588
1,7,0.1,1,70,0.75,0.052
1,7,0.1,1,175,0.75,0.0624
1,7,0.1,1,350,0.75,0.0906
1,7,0.1,1,700,0.75,0.1692
1,7,0.1,1,931,0.75,0.1966
1,7,0.1,1,1246,0.75,0.3006
1,7,0.1,1,1659,0.75,0.4708
1,7,0.1,1,2212,0.75,0.7132
1,7,0.1,1,2954,0.75,0.8716
