epsilon,k,sigma,effect_size,N,exponent,Power,rho
0.1,3,0.25,0.5,7113,1.5,0.4886,0.85
0.1,3,0.25,0.5,9486,1.5,0.7224,0.85
0.1,3,0.25,0.5,948,2,0.0552,0.85
0.1,3,0.25,0.5,1266,2,0.0608,0.85
0.1,3,0.25,0.5,1686,2,0.0518,0.85
0.1,3,0.25,0.5,2250,2,0.0626,0.85
0.1,3,0.25,0.5,3e3,2,0.056,0.85
0.1,3,0.25,0.5,4002,2,0.0516,0.85
0.1,3,0.25,0.5,5334,2,0.0666,0.85
0.1,3,0.25,0.5,7113,2,0.0792,0.85
0.1,3,0.25,0.5,9486,2,0.0992,0.85
0.1,3,0.25,1,948,0.75,0.0972,0.85
0.1,3,0.25,1,1266,0.75,0.106,0.85
0.1,3,0.25,1,1686,0.75,0.126,0.85
0.1,3,0.25,1,2250,0.75,0.171,0.85
0.1,3,0.25,1,3e3,0.75,0.243,0.85
0.1,3,0.25,1,4002,0.75,0.303,0.85
0.1,3,0.25,1,5334,0.75,0.5154,0.85
0.1,3,0.25,1,7113,0.75,0.6784,0.85
0.1,3,0.25,1,9486,0.75,0.846,0.85
0.1,3,0.25,1,948,1,0.218,0.85
0.1,3,0.25,1,1266,1,0.403,0.85
0.1,3,0.25,1,1686,1,0.6098,0.85
0.1,3,0.25,1,2250,1,0.849,0.85
0.1,3,0.25,1,3e3,1,0.962,0.85
0.1,3,0.25,1,4002,1,0.9844,0.85
0.1,3,0.25,1,5334,1,0.9966,0.85
0.1,3,0.25,1,7113,1,0.999,0.85
0.1,3,0.25,1,9486,1,1,0.85
0.1,3,0.25,1,948,1.5,0.0842,0.85
0.1,3,0.25,1,1266,1.5,0.1112,0.85
0.1,3,0.25,1,1686,1.5,0.1256,0.85
0.1,3,0.25,1,2250,1.5,0.1952,0.85
0.1,3,0.25,1,3e3,1.5,0.2938,0.85
0.1,3,0.25,1,4002,1.5,0.5286,0.85
0.1,3,0.25,1,5334,1.5,0.7624,0.85
0.1,3,0.25,1,7113,1.5,0.9414,0.85
0.1,3,0.25,1,9486,1.5,0.9844,0.85
0.1,3,0.25,1,948,2,0.0574,0.85
0.1,3,0.25,1,1266,2,0.0574,0.85
0.1,3,0.25,1,1686,2,0.0668,0.85
0.1,3,0.25,1,2250,2,0.0872,0.85
0.1,3,0.25,1,3e3,2,0.1002,0.85
0.1,3,0.25,1,4002,2,0.1394,0.85
0.1,3,0.25,1,5334,2,0.1584,0.85
0.1,3,0.25,1,7113,2,0.231,0.85
0.1,3,0.25,1,9486,2,0.4776,0.85
0.1,7,0.1,0.5,2212,0.75,0.056,0.85
0.1,7,0.1,0.5,2954,0.75,0.055,0.85
0.1,7,0.1,0.5,3934,0.75,0.058,0.85
0.1,7,0.1,0.5,5250,0.75,0.0732,0.85
0.1,7,0.1,0.5,7e3,0.75,0.0776,0.85
0.1,7,0.1,0.5,9338,0.75,0.0952,0.85
0.1,7,0.1,0.5,12446,0.75,0.095,0.85
0.1,7,0.1,0.5,16597,0.75,0.1226,0.85
0.1,7,0.1,0.5,22134,0.75,0.1816,0.85
0.1,7,0.1,0.5,2212,1,0.0614,0.85
0.1,7,0.1,0.5,2954,1,0.0702,0.85
0.1,7,0.1,0.5,3934,1,0.0958,0.85
0.1,7,0.1,0.5,5250,1,0.1384,0.85
0.1,7,0.1,0.5,7e3,1,0.2276,0.85
0.1,7,0.1,0.5,9338,1,0.406,0.85
0.1,7,0.1,0.5,12446,1,0.7558,0.85
0.1,7,0.1,0.5,16597,1,0.937,0.85
0.1,7,0.1,0.5,22134,1,0.9926,0.85
0.1,7,0.1,0.5,2212,1.5,0.0524,0.85
0.1,7,0.1,0.5,2954,1.5,0.0558,0.85
0.1,7,0.1,0.5,3934,1.5,0.0416,0.85
0.1,7,0.1,0.5,5250,1.5,0.0518,0.85
0.1,7,0.1,0.5,7e3,1.5,0.0646,0.85
0.1,7,0.1,0.5,9338,1.5,0.0662,0.85
0.1,7,0.1,0.5,12446,1.5,0.0834,0.85
0.1,7,0.1,0.5,16597,1.5,0.0962,0.85
0.1,7,0.1,0.5,22134,1.5,0.1146,0.85
0.1,7,0.1,0.5,2212,2,0.0496,0.85
0.1,7,0.1,0.5,2954,2,0.045,0.85
0.1,7,0.1,0.5,3934,2,0.0498,0.85
0.1,7,0.1,0.5,5250,2,0.0424,0.85
0.1,7,0.1,0.5,7e3,2,0.0412,0.85
0.1,7,0.1,0.5,9338,2,0.0466,0.85
0.1,7,0.1,0.5,12446,2,0.0516,0.85
0.1,7,0.1,0.5,16597,2,0.0488,0.85
0.1,7,0.1,0.5,22134,2,0.0598,0.85
0.1,7,0.1,1,2212,0.75,0.0652,0.85
0.1,7,0.1,1,2954,0.75,0.0704,0.85
0.1,7,0.1,1,3934,0.75,0.0734,0.85
0.1,7,0.1,1,5250,0.75,0.0802,0.85
0.1,7,0.1,1,7e3,0.75,0.1096,0.85
0.1,7,0.1,1,9338,0.75,0.1218,0.85
0.1,7,0.1,1,12446,0.75,0.163,0.85
0.1,7,0.1,1,16597,0.75,0.2092,0.85
0.1,7,0.1,1,22134,0.75,0.3736,0.85
0.1,7,0.1,1,2212,1,0.1004,0.85
0.1,7,0.1,1,2954,1,0.129,0.85
0.1,7,0.1,1,3934,1,0.2422,0.85
0.1,7,0.1,1,5250,1,0.3714,0.85
0.1,7,0.1,1,7e3,1,0.6596,0.85
0.1,7,0.1,1,9338,1,0.9218,0.85
0.1,7,0.1,1,12446,1,0.9918,0.85
0.1,7,0.1,1,16597,1,0.9986,0.85
0.1,7,0.1,1,22134,1,1,0.85
0.1,7,0.1,1,2212,1.5,0.056,0.85
0.1,7,0.1,1,2954,1.5,0.0448,0.85
0.1,7,0.1,1,3934,1.5,0.056,0.85
0.1,7,0.1,1,5250,1.5,0.0664,0.85
0.1,7,0.1,1,7e3,1.5,0.0774,0.85
0.1,7,0.1,1,9338,1.5,0.0812,0.85
0.1,7,0.1,1,12446,1.5,0.1466,0.85
0.1,7,0.1,1,16597,1.5,0.1992,0.85
0.1,7,0.1,1,22134,1.5,0.4016,0.85
0.1,7,0.1,1,2212,2,0.0514,0.85
0.1,7,0.1,1,2954,2,0.0498,0.85
0.1,7,0.1,1,3934,2,0.0512,0.85
0.1,7,0.1,1,5250,2,0.0534,0.85
0.1,7,0.1,1,7e3,2,0.055,0.85
0.1,7,0.1,1,9338,2,0.056,0.85
0.1,7,0.1,1,12446,2,0.0562,0.85
0.1,7,0.1,1,16597,2,0.0604,0.85
0.1,7,0.1,1,22134,2,0.0604,0.85
0.1,7,0.25,0.5,2212,0.75,0.0554,0.85
0.1,7,0.25,0.5,2954,0.75,0.0806,0.85
0.1,7,0.25,0.5,3934,0.75,0.0834,0.85
0.1,7,0.25,0.5,5250,0.75,0.1134,0.85
0.1,7,0.25,0.5,7e3,0.75,0.1394,0.85
0.1,7,0.25,0.5,9338,0.75,0.174,0.85
0.1,7,0.25,0.5,12446,0.75,0.2276,0.85
0.1,7,0.25,0.5,16597,0.75,0.3248,0.85
0.1,7,0.25,0.5,22134,0.75,0.595,0.85
0.1,7,0.25,0.5,2212,1,0.1514,0.85
0.1,7,0.25,0.5,2954,1,0.2024,0.85
0.1,7,0.25,0.5,3934,1,0.4422,0.85
0.1,7,0.25,0.5,5250,1,0.712,0.85
0.1,7,0.25,0.5,7e3,1,0.9202,0.85
0.1,7,0.25,0.5,9338,1,0.9878,0.85
0.1,7,0.25,0.5,12446,1,0.9992,0.85
0.1,7,0.25,0.5,16597,1,1,0.85
0.1,7,0.25,0.5,22134,1,1,0.85
0.1,7,0.25,0.5,2212,1.5,0.061,0.85
0.1,7,0.25,0.5,2954,1.5,0.0684,0.85
0.1,7,0.25,0.5,3934,1.5,0.0812,0.85
0.1,7,0.25,0.5,5250,1.5,0.0808,0.85
0.1,7,0.25,0.5,7e3,1.5,0.1236,0.85
0.1,7,0.25,0.5,9338,1.5,0.2142,0.85
0.1,7,0.25,0.5,12446,1.5,0.3884,0.85
0.1,7,0.25,0.5,16597,1.5,0.6912,0.85
0.1,7,0.25,0.5,22134,1.5,0.888,0.85
0.1,7,0.25,0.5,2212,2,0.0476,0.85
0.1,7,0.25,0.5,2954,2,0.0494,0.85
0.1,7,0.25,0.5,3934,2,0.0588,0.85
0.1,7,0.25,0.5,5250,2,0.0572,0.85
0.1,7,0.25,0.5,7e3,2,0.0654,0.85
0.1,7,0.25,0.5,9338,2,0.069,0.85
0.1,7,0.25,0.5,12446,2,0.076,0.85
0.1,7,0.25,0.5,16597,2,0.1016,0.85
0.1,7,0.25,0.5,22134,2,0.1464,0.85
0.1,7,0.25,1,2212,0.75,0.0744,0.85
0.1,7,0.25,1,2954,0.75,0.1076,0.85
0.1,7,0.25,1,3934,0.75,0.1244,0.85
0.1,7,0.25,1,5250,0.75,0.1656,0.85
0.1,7,0.25,1,7e3,0.75,0.213,0.85
0.1,7,0.25,1,9338,0.75,0.3048,0.85
0.1,7,0.25,1,12446,0.75,0.5402,0.85
0.1,7,0.25,1,16597,0.75,0.7848,0.85
0.1,7,0.25,1,22134,0.75,0.9356,0.85
0.1,7,0.25,1,2212,1,0.304,0.85
0.1,7,0.25,1,2954,1,0.588,0.85
0.1,7,0.25,1,3934,1,0.8888,0.85
0.1,7,0.25,1,5250,1,0.9882,0.85
0.1,7,0.25,1,7e3,1,0.9976,0.85
0.1,7,0.25,1,9338,1,1,0.85
0.1,7,0.25,1,12446,1,1,0.85
0.1,7,0.25,1,16597,1,1,0.85
0.1,7,0.25,1,22134,1,1,0.85
0.1,7,0.25,1,2212,1.5,0.0852,0.85
0.1,7,0.25,1,2954,1.5,0.1212,0.85
0.1,7,0.25,1,3934,1.5,0.1496,0.85
0.1,7,0.25,1,5250,1.5,0.3072,0.85
0.1,7,0.25,1,7e3,1.5,0.5272,0.85
0.1,7,0.25,1,9338,1.5,0.8366,0.85
0.1,7,0.25,1,12446,1.5,0.9734,0.85
0.1,7,0.25,1,16597,1.5,0.9958,0.85
0.1,7,0.25,1,22134,1.5,1,0.85
0.1,7,0.25,1,2212,2,0.0542,0.85
0.1,7,0.25,1,2954,2,0.0622,0.85
0.1,7,0.25,1,3934,2,0.0632,0.85
0.1,7,0.25,1,5250,2,0.0842,0.85
0.1,7,0.25,1,7e3,2,0.1142,0.85
0.1,7,0.25,1,9338,2,0.1704,0.85
0.1,7,0.25,1,12446,2,0.3042,0.85
0.1,7,0.25,1,16597,2,0.5616,0.85
0.1,7,0.25,1,22134,2,0.8334,0.85
