epsilon,k,sigma,effect_size,N,exponent,Power,rho
0.1,3,0.1,0.5,948,0.75,0.0618,0.85
0.1,3,0.1,0.5,1266,0.75,0.0602,0.85
0.1,3,0.1,0.5,1686,0.75,0.0656,0.85
0.1,3,0.1,0.5,2250,0.75,0.0556,0.85
0.1,3,0.1,0.5,3e3,0.75,0.0798,0.85
0.1,3,0.1,0.5,4002,0.75,0.0856,0.85
0.1,3,0.1,0.5,5334,0.75,0.1002,0.85
0.1,3,0.1,0.5,7113,0.75,0.133,0.85
0.1,3,0.1,0.5,9486,0.75,0.1922,0.85
0.1,3,0.1,0.5,948,1,0.0672,0.85
0.1,3,0.1,0.5,1266,1,0.0676,0.85
0.1,3,0.1,0.5,1686,1,0.0784,0.85
0.1,3,0.1,0.5,2250,1,0.1146,0.85
0.1,3,0.1,0.5,3e3,1,0.1666,0.85
0.1,3,0.1,0.5,4002,1,0.252,0.85
0.1,3,0.1,0.5,5334,1,0.4064,0.85
0.1,3,0.1,0.5,7113,1,0.7874,0.85
0.1,3,0.1,0.5,9486,1,0.9564,0.85
0.1,3,0.1,0.5,948,1.5,0.0542,0.85
0.1,3,0.1,0.5,1266,1.5,0.0602,0.85
0.1,3,0.1,0.5,1686,1.5,0.0456,0.85
0.1,3,0.1,0.5,2250,1.5,0.0648,0.85
0.1,3,0.1,0.5,3e3,1.5,0.0592,0.85
0.1,3,0.1,0.5,4002,1.5,0.0568,0.85
0.1,3,0.1,0.5,5334,1.5,0.0564,0.85
0.1,3,0.1,0.5,7113,1.5,0.0782,0.85
0.1,3,0.1,0.5,9486,1.5,0.0872,0.85
0.1,3,0.1,0.5,948,2,0.0548,0.85
0.1,3,0.1,0.5,1266,2,0.0474,0.85
0.1,3,0.1,0.5,1686,2,0.053,0.85
0.1,3,0.1,0.5,2250,2,0.0458,0.85
0.1,3,0.1,0.5,3e3,2,0.051,0.85
0.1,3,0.1,0.5,4002,2,0.049,0.85
0.1,3,0.1,0.5,5334,2,0.0456,0.85
0.1,3,0.1,0.5,7113,2,0.0486,0.85
0.1,3,0.1,0.5,9486,2,0.0516,0.85
0.1,3,0.1,1,948,0.75,0.0684,0.85
0.1,3,0.1,1,1266,0.75,0.0598,0.85
0.1,3,0.1,1,1686,0.75,0.0844,0.85
0.1,3,0.1,1,2250,0.75,0.0936,0.85
0.1,3,0.1,1,3e3,0.75,0.1162,0.85
0.1,3,0.1,1,4002,0.75,0.1282,0.85
0.1,3,0.1,1,5334,0.75,0.1722,0.85
0.1,3,0.1,1,7113,0.75,0.231,0.85
0.1,3,0.1,1,9486,0.75,0.3468,0.85
0.1,3,0.1,1,948,1,0.0902,0.85
0.1,3,0.1,1,1266,1,0.1132,0.85
0.1,3,0.1,1,1686,1,0.1586,0.85
0.1,3,0.1,1,2250,1,0.198,0.85
0.1,3,0.1,1,3e3,1,0.3688,0.85
0.1,3,0.1,1,4002,1,0.6398,0.85
0.1,3,0.1,1,5334,1,0.8746,0.85
0.1,3,0.1,1,7113,1,0.967,0.85
0.1,3,0.1,1,9486,1,0.98740000000000006,0.85
0.1,3,0.1,1,948,1.5,0.0602,0.85
0.1,3,0.1,1,1266,1.5,0.0578,0.85
0.1,3,0.1,1,1686,1.5,0.0592,0.85
0.1,3,0.1,1,2250,1.5,0.0562,0.85
0.1,3,0.1,1,3e3,1.5,0.0806,0.85
0.1,3,0.1,1,4002,1.5,0.0936,0.85
0.1,3,0.1,1,5334,1.5,0.1096,0.85
0.1,3,0.1,1,7113,1.5,0.1536,0.85
0.1,3,0.1,1,9486,1.5,0.2,0.85
0.1,3,0.1,1,948,2,0.0488,0.85
0.1,3,0.1,1,1266,2,0.0548,0.85
0.1,3,0.1,1,1686,2,0.049,0.85
0.1,3,0.1,1,2250,2,0.05,0.85
0.1,3,0.1,1,3e3,2,0.0564,0.85
0.1,3,0.1,1,4002,2,0.0584,0.85
0.1,3,0.1,1,5334,2,0.0544,0.85
0.1,3,0.1,1,7113,2,0.068,0.85
0.1,3,0.1,1,9486,2,0.075,0.85
0.1,3,0.25,0.5,948,0.75,0.0774,0.85
0.1,3,0.25,0.5,1266,0.75,0.0866,0.85
0.1,3,0.25,0.5,1686,0.75,0.0796,0.85
0.1,3,0.25,0.5,2250,0.75,0.0962,0.85
0.1,3,0.25,0.5,3e3,0.75,0.1262,0.85
0.1,3,0.25,0.5,4002,0.75,0.1778,0.85
0.1,3,0.25,0.5,5334,0.75,0.1994,0.85
0.1,3,0.25,0.5,7113,0.75,0.3418,0.85
0.1,3,0.25,0.5,9486,0.75,0.6062,0.85
0.1,3,0.25,0.5,948,1,0.1172,0.85
0.1,3,0.25,0.5,1266,1,0.1356,0.85
0.1,3,0.25,0.5,1686,1,0.2366,0.85
0.1,3,0.25,0.5,2250,1,0.4414,0.85
0.1,3,0.25,0.5,3e3,1,0.7604,0.85
0.1,3,0.25,0.5,4002,1,0.9646,0.85
0.1,3,0.25,0.5,5334,1,0.9938,0.85
0.1,3,0.25,0.5,7113,1,0.9992,0.85
0.1,3,0.25,0.5,9486,1,1,0.85
0.1,3,0.25,0.5,948,1.5,0.0518,0.85
0.1,3,0.25,0.5,1266,1.5,0.0616,0.85
0.1,3,0.25,0.5,1686,1.5,0.0708,0.85
0.1,3,0.25,0.5,2250,1.5,0.0786,0.85
0.1,3,0.25,0.5,3e3,1.5,0.1022,0.85
0.1,3,0.25,0.5,4002,1.5,0.1302,0.85
0.1,3,0.25,0.5,5334,1.5,0.2578,0.85
