epsilon,k,sigma,effect_size,N,exponent,Power,rho
1,3,0.25,0.5,1686,1,1,0.85
1,3,0.25,0.5,30,1.5,0.0458,0.85
1,3,0.25,0.5,75,1.5,0.0522,0.85
1,3,0.25,0.5,150,1.5,0.068,0.85
1,3,0.25,0.5,300,1.5,0.1106,0.85
1,3,0.25,0.5,399,1.5,0.1606,0.85
1,3,0.25,0.5,534,1.5,0.2336,0.85
1,3,0.25,0.5,711,1.5,0.4316,0.85
1,3,0.25,0.5,948,1.5,0.7196,0.85
1,3,0.25,0.5,1266,1.5,0.9324,0.85
1,3,0.25,0.5,1686,1.5,0.9886,0.85
1,3,0.25,0.5,30,2,0.0428,0.85
1,3,0.25,0.5,75,2,0.0478,0.85
1,3,0.25,0.5,150,2,0.052,0.85
1,3,0.25,0.5,300,2,0.0566,0.85
1,3,0.25,0.5,399,2,0.0674,0.85
1,3,0.25,0.5,534,2,0.0606,0.85
1,3,0.25,0.5,711,2,0.0724,0.85
1,3,0.25,0.5,948,2,0.1034,0.85
1,3,0.25,0.5,1266,2,0.1386,0.85
1,3,0.25,0.5,1686,2,0.2512,0.85
1,3,0.25,1,30,0.75,0.0584,0.85
1,3,0.25,1,75,0.75,0.0972,0.85
1,3,0.25,1,150,0.75,0.173,0.85
1,3,0.25,1,300,0.75,0.37,0.85
1,3,0.25,1,399,0.75,0.6044,0.85
1,3,0.25,1,534,0.75,0.7682,0.85
1,3,0.25,1,711,0.75,0.9324,0.85
1,3,0.25,1,948,0.75,0.9856,0.85
1,3,0.25,1,1266,0.75,0.9954,0.85
1,3,0.25,1,1686,0.75,0.9976,0.85
1,3,0.25,1,30,1,0.0738,0.85
1,3,0.25,1,75,1,0.1426,0.85
1,3,0.25,1,150,1,0.357,0.85
1,3,0.25,1,300,1,0.9422,0.85
1,3,0.25,1,399,1,0.987,0.85
1,3,0.25,1,534,1,0.9958,0.85
1,3,0.25,1,711,1,0.9978,0.85
1,3,0.25,1,948,1,0.9998,0.85
1,3,0.25,1,1266,1,1,0.85
1,3,0.25,1,1686,1,1,0.85
1,3,0.25,1,30,1.5,0.0492,0.85
1,3,0.25,1,75,1.5,0.0752,0.85
1,3,0.25,1,150,1.5,0.1302,0.85
1,3,0.25,1,300,1.5,0.253,0.85
1,3,0.25,1,399,1.5,0.4652,0.85
1,3,0.25,1,534,1.5,0.7486,0.85
1,3,0.25,1,711,1.5,0.9474,0.85
1,3,0.25,1,948,1.5,0.9792,0.85
1,3,0.25,1,1266,1.5,0.9958,0.85
1,3,0.25,1,1686,1.5,0.9982,0.85
1,3,0.25,1,30,2,0.0428,0.85
1,3,0.25,1,75,2,0.063,0.85
1,3,0.25,1,150,2,0.061,0.85
1,3,0.25,1,300,2,0.0952,0.85
1,3,0.25,1,399,2,0.1288,0.85
1,3,0.25,1,534,2,0.175,0.85
1,3,0.25,1,711,2,0.3098,0.85
1,3,0.25,1,948,2,0.5212,0.85
1,3,0.25,1,1266,2,0.7724,0.85
1,3,0.25,1,1686,2,0.9372,0.85
1,7,0.1,0.5,70,0.75,0.0494,0.85
1,7,0.1,0.5,175,0.75,0.0572,0.85
1,7,0.1,0.5,350,0.75,0.0732,0.85
1,7,0.1,0.5,700,0.75,0.1012,0.85
1,7,0.1,0.5,931,0.75,0.1142,0.85
1,7,0.1,0.5,1246,0.75,0.1322,0.85
1,7,0.1,0.5,1659,0.75,0.1974,0.85
1,7,0.1,0.5,2212,0.75,0.3242,0.85
1,7,0.1,0.5,2954,0.75,0.5528,0.85
1,7,0.1,0.5,3934,0.75,0.774,0.85
1,7,0.1,0.5,70,1,0.0546,0.85
1,7,0.1,0.5,175,1,0.0598,0.85
1,7,0.1,0.5,350,1,0.0824,0.85
1,7,0.1,0.5,700,1,0.176,0.85
1,7,0.1,0.5,931,1,0.2884,0.85
1,7,0.1,0.5,1246,1,0.4866,0.85
1,7,0.1,0.5,1659,1,0.8286,0.85
1,7,0.1,0.5,2212,1,0.9606,0.85
1,7,0.1,0.5,2954,1,0.9964,0.85
1,7,0.1,0.5,3934,1,1,0.85
1,7,0.1,0.5,70,1.5,0.049,0.85
1,7,0.1,0.5,175,1.5,0.054,0.85
1,7,0.1,0.5,350,1.5,0.052,0.85
1,7,0.1,0.5,700,1.5,0.0568,0.85
1,7,0.1,0.5,931,1.5,0.0546,0.85
1,7,0.1,0.5,1246,1.5,0.0618,0.85
1,7,0.1,0.5,1659,1.5,0.0874,0.85
1,7,0.1,0.5,2212,1.5,0.101,0.85
1,7,0.1,0.5,2954,1.5,0.156,0.85
1,7,0.1,0.5,3934,1.5,0.2908,0.85
1,7,0.1,0.5,70,2,0.044,0.85
1,7,0.1,0.5,175,2,0.0476,0.85
1,7,0.1,0.5,350,2,0.0496,0.85
1,7,0.1,0.5,700,2,0.0436,0.85
1,7,0.1,0.5,931,2,0.0564,0.85
1,7,0.1,0.5,1246,2,0.0526,0.85
1,7,0.1,0.5,1659,2,0.051,0.85
1,7,0.1,0.5,2212,2,0.051,0.85
1,7,0.1,0.5,2954,2,0.0502,0.85
1,7,0.1,0.5,3934,2,0.0504,0.85
1,7,0.1,1,70,0.75,0.0582,0.85
1,7,0.1,1,175,0.75,0.0832,0.85
1,7,0.1,1,350,0.75,0.0938,0.85
1,7,0.1,1,700,0.75,0.1514,0.85
1,7,0.1,1,931,0.75,0.1962,0.85
1,7,0.1,1,1246,0.75,0.269,0.85
1,7,0.1,1,1659,0.75,0.4468,0.85
1,7,0.1,1,2212,0.75,0.7678,0.85
1,7,0.1,1,2954,0.75,0.9002,0.85
1,7,0.1,1,3934,0.75,0.9872,0.85
1,7,0.1,1,70,1,0.0566,0.85
1,7,0.1,1,175,1,0.0778,0.85
1,7,0.1,1,350,1,0.1412,0.85
1,7,0.1,1,700,1,0.4374,0.85
1,7,0.1,1,931,1,0.8016,0.85
1,7,0.1,1,1246,1,0.9754,0.85
1,7,0.1,1,1659,1,0.9974,0.85
1,7,0.1,1,2212,1,1,0.85
1,7,0.1,1,2954,1,1,0.85
1,7,0.1,1,3934,1,1,0.85
1,7,0.1,1,70,1.5,0.0506,0.85
1,7,0.1,1,175,1.5,0.052,0.85
1,7,0.1,1,350,1.5,0.0514,0.85
1,7,0.1,1,700,1.5,0.0868,0.85
1,7,0.1,1,931,1.5,0.0832,0.85
1,7,0.1,1,1246,1.5,0.1354,0.85
1,7,0.1,1,1659,1.5,0.1796,0.85
1,7,0.1,1,2212,1.5,0.373,0.85
1,7,0.1,1,2954,1.5,0.652,0.85
1,7,0.1,1,3934,1.5,0.9416,0.85
1,7,0.1,1,70,2,0.0456,0.85
1,7,0.1,1,175,2,0.0522,0.85
1,7,0.1,1,350,2,0.0514,0.85
1,7,0.1,1,700,2,0.0602,0.85
1,7,0.1,1,931,2,0.052,0.85
1,7,0.1,1,1246,2,0.054,0.85
1,7,0.1,1,1659,2,0.0648,0.85
1,7,0.1,1,2212,2,0.0672,0.85
1,7,0.1,1,2954,2,0.0692,0.85
1,7,0.1,1,3934,2,0.1004,0.85
1,7,0.25,0.5,70,0.75,0.0552,0.85
1,7,0.25,0.5,175,0.75,0.0644,0.85
1,7,0.25,0.5,350,0.75,0.0836,0.85
1,7,0.25,0.5,700,0.75,0.1314,0.85
1,7,0.25,0.5,931,0.75,0.214,0.85
1,7,0.25,0.5,1246,0.75,0.4144,0.85
1,7,0.25,0.5,1659,0.75,0.6134,0.85
1,7,0.25,0.5,2212,0.75,0.894,0.85
1,7,0.25,0.5,2954,0.75,0.9738,0.85
1,7,0.25,0.5,3934,0.75,0.9952,0.85
1,7,0.25,0.5,70,1,0.05,0.85
1,7,0.25,0.5,175,1,0.087,0.85
1,7,0.25,0.5,350,1,0.1684,0.85
1,7,0.25,0.5,700,1,0.6644,0.85
1,7,0.25,0.5,931,1,0.9056,0.85
1,7,0.25,0.5,1246,1,0.989,0.85
1,7,0.25,0.5,1659,1,0.9992,0.85
1,7,0.25,0.5,2212,1,1,0.85
1,7,0.25,0.5,2954,1,1,0.85
1,7,0.25,0.5,3934,1,1,0.85
1,7,0.25,0.5,70,1.5,0.0558,0.85
1,7,0.25,0.5,175,1.5,0.0552,0.85
1,7,0.25,0.5,350,1.5,0.065,0.85
1,7,0.25,0.5,700,1.5,0.127,0.85
1,7,0.25,0.5,931,1.5,0.186,0.85
1,7,0.25,0.5,1246,1.5,0.3684,0.85
1,7,0.25,0.5,1659,1.5,0.6244,0.85
1,7,0.25,0.5,2212,1.5,0.8482,0.85
1,7,0.25,0.5,2954,1.5,0.9668,0.85
1,7,0.25,0.5,3934,1.5,0.995,0.85
1,7,0.25,0.5,70,2,0.0486,0.85
1,7,0.25,0.5,175,2,0.0472,0.85
1,7,0.25,0.5,350,2,0.0516,0.85
1,7,0.25,0.5,700,2,0.063,0.85
1,7,0.25,0.5,931,2,0.0688,0.85
1,7,0.25,0.5,1246,2,0.076,0.85
1,7,0.25,0.5,1659,2,0.1052,0.85
1,7,0.25,0.5,2212,2,0.1428,0.85
1,7,0.25,0.5,2954,2,0.2116,0.85
1,7,0.25,0.5,3934,2,0.3328,0.85
1,7,0.25,1,70,0.75,0.0576,0.85
1,7,0.25,1,175,0.75,0.0896,0.85
1,7,0.25,1,350,0.75,0.1268,0.85
1,7,0.25,1,700,0.75,0.2986,0.85
1,7,0.25,1,931,0.75,0.5876,0.85
1,7,0.25,1,1246,0.75,0.8358,0.85
1,7,0.25,1,1659,0.75,0.9634,0.85
1,7,0.25,1,2212,0.75,0.996,0.85
1,7,0.25,1,2954,0.75,1,0.85
1,7,0.25,1,3934,0.75,1,0.85
1,7,0.25,1,70,1,0.067,0.85
1,7,0.25,1,175,1,0.1374,0.85
1,7,0.25,1,350,1,0.475,0.85
1,7,0.25,1,700,1,0.994,0.85
1,7,0.25,1,931,1,0.9996,0.85
1,7,0.25,1,1246,1,1,0.85
1,7,0.25,1,1659,1,1,0.85
1,7,0.25,1,2212,1,1,0.85
1,7,0.25,1,2954,1,1,0.85
1,7,0.25,1,3934,1,1,0.85
1,7,0.25,1,70,1.5,0.0582,0.85
1,7,0.25,1,175,1.5,0.088,0.85
1,7,0.25,1,350,1.5,0.1426,0.85
1,7,0.25,1,700,1.5,0.4928,0.85
1,7,0.25,1,931,1.5,0.7904,0.85
1,7,0.25,1,1246,1.5,0.9664,0.85
1,7,0.25,1,1659,1.5,0.9938,0.85
1,7,0.25,1,2212,1.5,0.9994,0.85
1,7,0.25,1,2954,1.5,1,0.85
1,7,0.25,1,3934,1.5,1,0.85
1,7,0.25,1,70,2,0.0478,0.85
1,7,0.25,1,175,2,0.0524,0.85
1,7,0.25,1,350,2,0.0808,0.85
1,7,0.25,1,700,2,0.1116,0.85
1,7,0.25,1,931,2,0.155,0.85
1,7,0.25,1,1246,2,0.2648,0.85
1,7,0.25,1,1659,2,0.5146,0.85
1,7,0.25,1,2212,2,0.8036,0.85
1,7,0.25,1,2954,2,0.9546,0.85
1,7,0.25,1,3934,2,0.9928,0.85
