epsilon,k,sigma,effect_size,N,exponent,Power,rho
1,3,0.1,0.5,30,0.75,0.0528,0.85
1,3,0.1,0.5,75,0.75,0.0542,0.85
1,3,0.1,0.5,150,0.75,0.0786,0.85
1,3,0.1,0.5,300,0.75,0.115,0.85
1,3,0.1,0.5,399,0.75,0.1234,0.85
1,3,0.1,0.5,534,0.75,0.1632,0.85
1,3,0.1,0.5,711,0.75,0.205,0.85
1,3,0.1,0.5,948,0.75,0.3206,0.85
1,3,0.1,0.5,1266,0.75,0.532,0.85
1,3,0.1,0.5,1686,0.75,0.797,0.85
1,3,0.1,0.5,30,1,0.0452,0.85
1,3,0.1,0.5,75,1,0.0482,0.85
1,3,0.1,0.5,150,1,0.0882,0.85
1,3,0.1,0.5,300,1,0.1484,0.85
1,3,0.1,0.5,399,1,0.2062,0.85
1,3,0.1,0.5,534,1,0.3904,0.85
1,3,0.1,0.5,711,1,0.6404,0.85
1,3,0.1,0.5,948,1,0.915,0.85
1,3,0.1,0.5,1266,1,0.9932,0.85
1,3,0.1,0.5,1686,1,0.9996,0.85
1,3,0.1,0.5,30,1.5,0.0522,0.85
1,3,0.1,0.5,75,1.5,0.0584,0.85
1,3,0.1,0.5,150,1.5,0.046,0.85
1,3,0.1,0.5,300,1.5,0.059,0.85
1,3,0.1,0.5,399,1.5,0.0642,0.85
1,3,0.1,0.5,534,1.5,0.0588,0.85
1,3,0.1,0.5,711,1.5,0.074,0.85
1,3,0.1,0.5,948,1.5,0.0972,0.85
1,3,0.1,0.5,1266,1.5,0.1266,0.85
1,3,0.1,0.5,1686,1.5,0.1622,0.85
1,3,0.1,0.5,30,2,0.0516,0.85
1,3,0.1,0.5,75,2,0.0458,0.85
1,3,0.1,0.5,150,2,0.0514,0.85
1,3,0.1,0.5,300,2,0.0468,0.85
1,3,0.1,0.5,399,2,0.046,0.85
1,3,0.1,0.5,534,2,0.0468,0.85
1,3,0.1,0.5,711,2,0.057,0.85
1,3,0.1,0.5,948,2,0.0632,0.85
1,3,0.1,0.5,1266,2,0.0528,0.85
1,3,0.1,0.5,1686,2,0.0536,0.85
1,3,0.1,1,30,0.75,0.052,0.85
1,3,0.1,1,75,0.75,0.0704,0.85
1,3,0.1,1,150,0.75,0.0956,0.85
1,3,0.1,1,300,0.75,0.1642,0.85
1,3,0.1,1,399,0.75,0.2344,0.85
1,3,0.1,1,534,0.75,0.3414,0.85
1,3,0.1,1,711,0.75,0.4234,0.85
1,3,0.1,1,948,0.75,0.6558,0.85
1,3,0.1,1,1266,0.75,0.8622,0.85
1,3,0.1,1,1686,0.75,0.9616,0.85
1,3,0.1,1,30,1,0.056,0.85
1,3,0.1,1,75,1,0.0656,0.85
1,3,0.1,1,150,1,0.1168,0.85
1,3,0.1,1,300,1,0.3324,0.85
1,3,0.1,1,399,1,0.55,0.85
1,3,0.1,1,534,1,0.8236,0.85
1,3,0.1,1,711,1,0.9592,0.85
1,3,0.1,1,948,1,0.9906,0.85
1,3,0.1,1,1266,1,0.9952,0.85
1,3,0.1,1,1686,1,0.9992,0.85
1,3,0.1,1,30,1.5,0.0438,0.85
1,3,0.1,1,75,1.5,0.049,0.85
1,3,0.1,1,150,1.5,0.0644,0.85
1,3,0.1,1,300,1.5,0.0722,0.85
1,3,0.1,1,399,1.5,0.0832,0.85
1,3,0.1,1,534,1.5,0.1224,0.85
1,3,0.1,1,711,1.5,0.1262,0.85
1,3,0.1,1,948,1.5,0.2352,0.85
1,3,0.1,1,1266,1.5,0.4066,0.85
1,3,0.1,1,1686,1.5,0.6574,0.85
1,3,0.1,1,30,2,0.0514,0.85
1,3,0.1,1,75,2,0.0492,0.85
1,3,0.1,1,150,2,0.0488,0.85
1,3,0.1,1,300,2,0.0506,0.85
1,3,0.1,1,399,2,0.055,0.85
1,3,0.1,1,534,2,0.0584,0.85
1,3,0.1,1,711,2,0.0522,0.85
1,3,0.1,1,948,2,0.0666,0.85
1,3,0.1,1,1266,2,0.0638,0.85
1,3,0.1,1,1686,2,0.1084,0.85
1,3,0.25,0.5,30,0.75,0.057,0.85
1,3,0.25,0.5,75,0.75,0.0668,0.85
1,3,0.25,0.5,150,0.75,0.1054,0.85
1,3,0.25,0.5,300,0.75,0.1724,0.85
1,3,0.25,0.5,399,0.75,0.257,0.85
1,3,0.25,0.5,534,0.75,0.4302,0.85
1,3,0.25,0.5,711,0.75,0.6762,0.85
1,3,0.25,0.5,948,0.75,0.896,0.85
1,3,0.25,0.5,1266,0.75,0.9792,0.85
1,3,0.25,0.5,1686,0.75,0.999,0.85
1,3,0.25,0.5,30,1,0.0636,0.85
1,3,0.25,0.5,75,1,0.0816,0.85
1,3,0.25,0.5,150,1,0.174,0.85
1,3,0.25,0.5,300,1,0.5402,0.85
1,3,0.25,0.5,399,1,0.8548,0.85
1,3,0.25,0.5,534,1,0.979,0.85
1,3,0.25,0.5,711,1,0.9992,0.85
1,3,0.25,0.5,948,1,1,0.85
1,3,0.25,0.5,1266,1,1,0.85
