epsilon,k,sigma,effect_size,N,exponent,Power,rho
1,3,0.25,0.5,1686,1.5,0.979,0.7
1,3,0.25,0.5,30,2,0.052,0.7
1,3,0.25,0.5,75,2,0.0458,0.7
1,3,0.25,0.5,150,2,0.0556,0.7
1,3,0.25,0.5,300,2,0.0546,0.7
1,3,0.25,0.5,399,2,0.0568,0.7
1,3,0.25,0.5,534,2,0.0714,0.7
1,3,0.25,0.5,711,2,0.0864,0.7
1,3,0.25,0.5,948,2,0.115,0.7
1,3,0.25,0.5,1266,2,0.1746,0.7
1,3,0.25,0.5,1686,2,0.2702,0.7
1,3,0.25,1,30,0.75,0.0648,0.7
1,3,0.25,1,75,0.75,0.0872,0.7
1,3,0.25,1,150,0.75,0.218,0.7
1,3,0.25,1,300,0.75,0.5532,0.7
1,3,0.25,1,399,0.75,0.8218,0.7
1,3,0.25,1,534,0.75,0.949,0.7
1,3,0.25,1,711,0.75,0.993,0.7
1,3,0.25,1,948,0.75,0.9988,0.7
1,3,0.25,1,1266,0.75,1,0.7
1,3,0.25,1,1686,0.75,1,0.7
1,3,0.25,1,30,1,0.0634,0.7
1,3,0.25,1,75,1,0.1364,0.7
1,3,0.25,1,150,1,0.5984,0.7
1,3,0.25,1,300,1,0.99,0.7
1,3,0.25,1,399,1,0.9994,0.7
1,3,0.25,1,534,1,1,0.7
1,3,0.25,1,711,1,1,0.7
1,3,0.25,1,948,1,1,0.7
1,3,0.25,1,1266,1,1,0.7
1,3,0.25,1,1686,1,1,0.7
1,3,0.25,1,30,1.5,0.0584,0.7
1,3,0.25,1,75,1.5,0.0728,0.7
1,3,0.25,1,150,1.5,0.1248,0.7
1,3,0.25,1,300,1.5,0.368,0.7
1,3,0.25,1,399,1.5,0.657,0.7
1,3,0.25,1,534,1.5,0.9004,0.7
1,3,0.25,1,711,1.5,0.9838,0.7
1,3,0.25,1,948,1.5,0.998,0.7
1,3,0.25,1,1266,1.5,0.9998,0.7
1,3,0.25,1,1686,1.5,1,0.7
1,3,0.25,1,30,2,0.0542,0.7
1,3,0.25,1,75,2,0.0494,0.7
1,3,0.25,1,150,2,0.0646,0.7
1,3,0.25,1,300,2,0.078,0.7
1,3,0.25,1,399,2,0.1342,0.7
1,3,0.25,1,534,2,0.1794,0.7
1,3,0.25,1,711,2,0.3966,0.7
1,3,0.25,1,948,2,0.6588,0.7
1,3,0.25,1,1266,2,0.905,0.7
1,3,0.25,1,1686,2,0.98,0.7
1,7,0.1,0.5,70,0.75,0.0536,0.7
1,7,0.1,0.5,175,0.75,0.0608,0.7
1,7,0.1,0.5,350,0.75,0.073,0.7
1,7,0.1,0.5,700,0.75,0.107,0.7
1,7,0.1,0.5,931,0.75,0.118,0.7
1,7,0.1,0.5,1246,0.75,0.168,0.7
1,7,0.1,0.5,1659,0.75,0.2608,0.7
1,7,0.1,0.5,2212,0.75,0.4088,0.7
1,7,0.1,0.5,2954,0.75,0.6644,0.7
1,7,0.1,0.5,3934,0.75,0.8246,0.7
1,7,0.1,0.5,70,1,0.0508,0.7
1,7,0.1,0.5,175,1,0.0646,0.7
1,7,0.1,0.5,350,1,0.0802,0.7
1,7,0.1,0.5,700,1,0.2012,0.7
1,7,0.1,0.5,931,1,0.3074,0.7
1,7,0.1,0.5,1246,1,0.5886,0.7
1,7,0.1,0.5,1659,1,0.83,0.7
1,7,0.1,0.5,2212,1,0.9498,0.7
1,7,0.1,0.5,2954,1,0.9918,0.7
1,7,0.1,0.5,3934,1,0.999,0.7
1,7,0.1,0.5,70,1.5,0.0468,0.7
