N,eps,Power,stat
30,1,0.0492,F2
75,1,0.0447,F2
150,1,0.0524,F2
300,1,0.0512,F2
399,1,0.0677,F2
534,1,0.0575,F2
711,1,0.065,F2
948,1,0.0807,F2
1266,1,0.1006,F2
1686,1,0.1579,F2
2250,1,0.2639,F2
3e3,1,0.4645,F2
4002,1,0.7478,F2
5334,1,0.9203,F2
7113,1,0.9848,F2
9486,1,0.9984,F2
12651,1,0.9998,F2
30,1,0.0538,F1
75,1,0.0892,F1
150,1,0.2205,F1
300,1,0.8332,F1
399,1,0.9738,F1
534,1,0.9977,F1
711,1,0.9998,F1
948,1,1,F1
1266,1,1,F1
1686,1,1,F1
2250,1,1,F1
3e3,1,1,F1
4002,1,1,F1
5334,1,1,F1
